OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,TaxParcelIdentificationNumber,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),DefaultData,TotalGHGEmissions
121,NonResidential,Small- and Mid-Sized Office,2100 Building,2100 24th Ave S,Seattle,WA,1498303116,SOUTHEAST,2003,1.0,3,99433,35752,63681,4897760.0,4980737.5,False,34.14
125,SPS-District K-12,K-12 School,Mercer International Middle,1600 Columbian Way S.,Seattle,WA,1624049214,GREATER DUWAMISH,1957,1.0,1,130862,0,130862,6456026.0,7300977.5,True,238.48
127,SPS-District K-12,K-12 School,Orca K-8 School,5215 46th Ave. S.,Seattle,WA,1704900242,SOUTHEAST,1989,1.0,3,59955,0,59955,1633399.375,1749171.25,True,20.48
130,SPS-District K-12,K-12 School,McClure Middle,1915 1st Ave. W.,Seattle,WA,1794501220,MAGNOLIA / QUEEN ANNE,1964,1.0,2,93218,0,93218,2887392.0,3216155.0,True,84.75
131,NonResidential,Other,Lakeview,1208 NE 64th st,Seattle,WA,1797500625,NORTHEAST,1941,1.0,4,56521,0,56521,6357632.0,6367210.0,False,44.32
132,NonResidential,Other,Roosevelt Square,6417 Roosevelt Way NE # 18-28,Seattle,WA,1797500715,NORTHEAST,1929,1.0,2,206934,0,206934,4253577.5,4384625.5,False,133.58
136,NonResidential,Hotel,Holiday Inn Express North Seattle Shoreline,14115 Aurora Ave N,Seattle,WA,1926049012,NORTHWEST,2001,1.0,4,51390,0,51390,3611538.0,3616214.0,False,127.29
137,SPS-District K-12,K-12 School,Broadview-Thomson K-8,13052 Greenwood Ave. N.,Seattle,WA,1926049025,NORTHWEST,1963,1.0,2,131013,0,131013,3894584.5,4290831.5,True,124.92
138,SPS-District K-12,K-12 School,Ingraham High,1819 N. 135th St.,Seattle,WA,1926049321,NORTHWEST,1959,1.0,1,245587,0,245587,11765682.0,12870916.0,False,443.73
139,NonResidential,Hotel,7066-Seattle-Northgate,13300 Stone Avenue N,Seattle,WA,1926049434,NORTHWEST,2002,1.0,3,69138,0,69138,3242458.0,3323400.5,False,89.02
144,NonResidential,Hotel,Alexis Hotel,1007 First Ave.,Seattle,WA,1974600035,DOWNTOWN,1904,1.0,5,190980,0,190980,6505995.0,6505995.0,False,142.39
145,Nonresidential COS,Other,Benaroya Hall,200 University Street,Seattle,WA,1974700025,DOWNTOWN,1998,1.0,6,284100,0,284100,14641502.0,14881950.0,False,429.12
147,NonResidential,Hospital,Swedish Ballard,5300 Tallman Ave NW,Seattle,WA,2767703875,BALLARD,1954,4.0,5,285333,0,285333,68090728.0,47602720.0,False,1990.5
148,SPS-District K-12,K-12 School,West Woodland Elementary,5601 4th Ave. N.W.,Seattle,WA,2768000375,Ballard,1991,1.0,2,55513,0,55513,1513570.75,1598852.625,True,10.55
163,Nonresidential COS,Other,Fire Station 10/FAC/EOC,105 5th Ave S,Seattle,WA,5247801465,DOWNTOWN,2006,1.0,4,61156,0,61156,9363374.0,9550716.0,False,176.75
167,NonResidential,Other,Wing Luke Museum,719 South King Street,Seattle,WA,5247802715,DOWNTOWN,1910,1.0,4,72820,13820,59000,2010454.625,2095175.25,False,46.26
168,NonResidential,Hotel,Hampton Inn Seattle Center,700 5th Ave N.,Seattle,WA,5458300285,MAGNOLIA / QUEEN ANNE,1996,1.0,4,162222,14200,148022,7946961.0,8016521.0,False,228.4
169,SPS-District K-12,K-12 School,Franklin High,3013 S. Mt. Baker Blvd.,Seattle,WA,5700000455,SOUTHEAST,1990,1.0,4,289588,0,289588,8819852.0,9542598.0,True,170.84
170,NonResidential,University,SCCC FINE ARTS BUILDING,801 E PINE ST,Seattle,WA,6003000470,EAST,1915,1.0,3,63330,0,63330,3059758.0,3284214.5,False,74.33
172,Campus,University,SSCC MAIN CAMPUS,6000 16th Ave SW,Seattle,WA,6171900005,DELRIDGE,1970,27.0,2,441071,0,441071,38301744.0,41151732.0,False,866.23
173,NonResidential,Small- and Mid-Sized Office,Seattle Children's Hospital 70th/Sand Point Way Administrative Offices,6901Sand Point Way NE,Seattle,WA,6418100005,NORTHEAST,2002,1.0,2,96300,0,96300,16319835.0,16274449.0,False,222.02
174,Nonresidential COS,Other,CSC Vehicle Maintenance (E),805 S Charles St,Seattle,WA,6834700175,GREATER DUWAMISH,1950,1.0,1,67356,0,67356,7475577.5,8086930.5,False,204.08
175,SPS-District K-12,K-12 School,Garfield High,400 23rd Ave.,Seattle,WA,6840701230,CENTRAL,2008,1.0,3,254523,0,254523,13567774.0,14810159.0,True,359.09
176,SPS-District K-12,K-12 School,Emerson Elementary,9709 60th Ave. S.,Seattle,WA,7129302300,SOUTHEAST,2001,1.0,3,78804,0,78804,2499140.0,2677620.75,True,56.82
177,SPS-District K-12,K-12 School,Madrona K-8,1121 33rd Ave.,Seattle,WA,7152200350,CENTRAL,2002,1.0,3,66994,0,66994,2371304.5,2579774.5,True,41.74
178,SPS-District K-12,K-12 School,Van Asselt Elementary,8311 Beacon Ave S,Seattle,WA,7243500230,GREATER DUWAMISH,2000,1.0,3,98357,0,98357,3456131.5,3783580.25,True,94.64
179,NonResidential,Small- and Mid-Sized Office,Seattle's Union Gospel Mission - Admin,3800 S Othello St,Seattle,WA,7378600265,GREATER DUWAMISH,1958,1.0,1,54765,0,54765,4253369.5,4503671.5,False,61.21
180,NonResidential,Other,Hope Place,3802 S Othello St,Seattle,WA,7378600265,GREATER DUWAMISH,2009,1.0,5,89821,0,89821,1950092.5,2220796.5,False,100.46
182,NonResidential,University,Otto Miller Hall,3469 3rd Ave. W,Seattle,WA,7443000070,MAGNOLIA / QUEEN ANNE,1980,1.0,2,52611,0,52611,4116871.5,4390158.0,False,104.26
183,NonResidential,Residence Hall,Emerson Hall,500 W. Emerson,Seattle,WA,7443000375,MAGNOLIA / QUEEN ANNE,2001,1.0,4,139600,37500,102100,4448582.5,4800620.5,False,129.39
185,SPS-District K-12,K-12 School,Nathan Hale High,17050 30th Ave. N.E.,Seattle,WA,2826049152,NORTH,2011,1.0,2,236758,0,236758,8355988.5,9287467.0,False,222.78
187,NonResidential,Other,Youth Services Center,1211 E Alder Street,Seattle,WA,2908700085,CENTRAL,1971,3.0,6,250981,0,250981,13071700.0,14196194.0,False,422.39
189,SPS-District K-12,K-12 School,Greenwood Elementary,144 N.W. 80th St.,Seattle,WA,2919200635,NORTHWEST,2002,1.0,3,62526,0,62526,1986094.875,2192411.0,True,54.07
338,NonResidential,Other,Jack R. McDonald Building,1900 9th Ave.,Seattle,WA,0660001215,DOWNTOWN,2004,1.0,11,299070,68432,230638,65336980.0,66000296.0,False,2055.82
190,NonResidential,Small- and Mid-Sized Office,Emerald Services,7343 E Marginal Way S,Seattle,WA,2924049043,GREATER DUWAMISH,2007,1.0,3,64015,0,64015,3242077.75,3375016.25,False,49.58
194,NonResidential,Retail Store,Northgate Mall,401 Northgate Way,Seattle,WA,2926049025,NORTH,1951,1.0,1,530039,0,530039,27717034.0,28763498.0,False,723.47
195,NonResidential,Other,Seattle-Northgate,10631 8th Ave NE,Seattle,WA,2926049409,NORTH,1964,1.0,3,54224,0,54224,7265178.0,7668810.0,False,231.53
197,NonResidential,Retail Store,Nordstrom Northgate 002,401 NE Northgate Way,Seattle,WA,2926049528,NORTH,1965,1.0,4,124342,0,124342,8765978.0,8729918.0,False,66.3
198,NonResidential,Hospital,Seattle Children's Hospital Main Campus,4800 Sand Point Way NE,Seattle,WA,2982800005,NORTHEAST,1953,6.0,10,879000,0,879000,253832464.0,257764208.0,False,8145.52
200,NonResidential,Other,Verity Credit Union,11027 Meridian N #102,Seattle,WA,3026049024,NORTHWEST,1996,1.0,3,55442,0,55442,3191228.25,3313397.0,False,83.7
205,SPS-District K-12,K-12 School,Ballard High,1418 N.W. 65th St.,Seattle,WA,3050700050,BALLARD,1999,1.0,2,242795,0,242795,9157150.0,9708318.0,True,123.71
209,NonResidential,Self-Storage Facility,Madison Self Storage,1111 E. Madison,Seattle,WA,3225049002,EAST,1910,1.0,5,84870,0,84870,1381590.125,1617801.25,False,51.11
211,Campus,University,NSCC MAIN CAMPUS,9600 COLLEGE WAY N,Seattle,WA,3226049021,NORTHWEST,1970,11.0,2,694072,111625,582447,35891484.0,37410800.0,False,362.82
212,SPS-District K-12,K-12 School,Aki Kurose Middle,3928 S. Graham St.,Seattle,WA,3332501090,SOUTHEAST,1952,1.0,2,173185,0,173185,6127771.5,7034167.5,True,242.36
214,SPS-District K-12,K-12 School,Boren Building,5950 Delridge Way S.W.,Seattle,WA,3438501230,DELRIDGE,1963,1.0,1,145341,0,145341,5499097.0,6337972.0,True,206.01
215,NonResidential,Warehouse,Rainier Bottling Plant,5628 Airport Way South,Seattle,WA,3466800065,GREATER DUWAMISH,1904,1.0,4,114297,0,114297,2100097.75,2415462.5,False,69.44
216,SPS-District K-12,K-12 School,Rainier Beach High,8815 Seward Park Ave S.,Seattle,WA,3524049149,SOUTHEAST,1960,1.0,2,184125,0,184125,8800292.0,10067991.0,True,328.97
220,NonResidential,Warehouse,8109,4786 First Ave S,Seattle,WA,3573700006,GREATER DUWAMISH,1937,1.0,1,234144,0,234144,6744317.0,7874958.5,False,297.43
223,NonResidential,Retail Store,Westwood Village - Building A,2600 SW Barton St,Seattle,WA,3624039009,DELRIDGE,1966,1.0,1,64984,0,64984,2944296.25,3016373.5,False,35.78
224,NonResidential,Retail Store,Westwood Village - Building B,2600 SW Barton St,Seattle,WA,3624039009,DELRIDGE,1965,1.0,1,67745,0,67745,9230223.0,9589728.0,False,369.14
225,SPS-District K-12,K-12 School,Denny/Sealth Campus,2601 SW Kenyon / 2600 SW Thistle,Seattle,WA,3624039032,DELRIDGE,2010,1.0,2,367884,0,367884,12265516.0,13279344.0,False,272.85
226,SPS-District K-12,K-12 School,Roxhill Elementary,9430 30th Ave. S.W.,Seattle,WA,3624039057,DELRIDGE,1958,1.0,1,46797,0,46797,2075891.0,2380144.5,True,73.47
228,NonResidential,Other,Webster Building,3014 NW 67th St.,Seattle,WA,3693901110,BALLARD,1973,1.0,3,56000,0,56000,1851260.5,2088978.125,False,59.34
229,SPS-District K-12,K-12 School,Martin Luther King Jr. Elementary,6725 45th Ave S,Seattle,WA,3812400550,SOUTHEAST,2004,1.0,2,67371,0,67371,2128459.0,2260359.75,True,46.36
230,NonResidential,Self-Storage Facility,U-Haul Moving and Storage of West Seattle,6343 35th Ave SW,Seattle,WA,3874900040,SOUTHWEST,1969,1.0,2,52088,0,52088,1377519.5,1576122.875,False,48.99
231,SPS-District K-12,K-12 School,Hamilton International Middle,1610 N. 41st St.,Seattle,WA,4083301505,LAKE UNION,2010,1.0,3,127776,0,127776,4748137.0,4998584.5,True,80.08
232,NonResidential,Hotel,Silver Cloud Inn,1150 Fairview Ave N,Seattle,WA,4088802955,LAKE UNION,1998,1.0,5,123920,30000,93920,9373179.0,9676783.0,False,309.6
233,Nonresidential COS,Other,Armory Building,860 Terry Ave N,Seattle,WA,4088803210,LAKE UNION,1900,1.0,1,50000,0,50000,7548807.0,7942537.5,False,225.69
234,Nonresidential COS,Warehouse,SCL Roy Street Warehouse,802 Roy St,Seattle,WA,4088803530,MAGNOLIA / QUEEN ANNE,1926,1.0,2,50292,0,50292,430473.6875,430473.6875,False,3.0
235,NonResidential,Hotel,311jk-Seattle Downtown/Lake Union CY,925 Westlake Ave North,Seattle,WA,4088803586,MAGNOLIA / QUEEN ANNE,1998,1.0,7,207656,54341,153315,11171988.0,11754087.0,False,338.16
237,SPS-District K-12,K-12 School,Whittier Elementary,1320 NW 75th St.,Seattle,WA,4240400005,BALLARD,1999,1.0,2,67235,0,67235,2284133.75,2443194.0,True,49.12
238,Nonresidential COS,Small- and Mid-Sized Office,North Service Center,1300 N 97th ST,Seattle,WA,4310701070,NORTHWEST,1957,1.0,2,91130,0,91130,9472358.0,10005492.0,False,175.77
239,SPS-District K-12,K-12 School,Gatewood Elementary,4320 SW Myrtle,Seattle,WA,4315700020,SOUTHWEST,1991,1.0,3,58118,0,58118,1407277.25,1519074.75,True,21.29
241,NonResidential,Hotel,Hotel Nexus,2140 N. Northgate Way,Seattle,WA,4468400005,NORTHWEST,1968,1.0,4,64893,0,64893,6197825.0,6211749.5,False,208.26
